grid_id,height_mean,slope_mean,L3_CODE,L3_NAME,land_risk,part_area,land_risk_value,FLDLV_FREQ,floodLevel,F_SHIM,F_AREA,F_YR,station_id,station_name,exit_no,freq_score,is_station_zone,height_norm,slope_norm,floodLevel_score,city_flood_risk,F_SHIM_level,past_flood_risk,final_score
1,23.26246452,2.875273228,154,도로,1,57.416,0.036,0,0,0,0,0,0,없음,,0,거짓,0.586,0.22,0,0,0,0,17
2,23.24890292,2.886377928,154,도로,1,1283.237,0.802,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.586,0.219,0,0,2,0.2,24
3,23.26246452,2.875273228,154,도로,1,988.941,0.618,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.586,0.22,0,0,2,0.2,28
4,27.28588734,1.064684089,154,도로,1,513.198,0.321,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.498,0.405,0,0,2,0.2,24
5,27.33323479,1.043377161,154,도로,1,79.67,0.05,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.497,0.409,0,0,2,0.2,19
6,22.84639955,2.932187986,154,도로,1,553.558,0.346,0,0,0,0,0,0,없음,,0,거짓,0.596,0.216,0,0,0,0,20
7,23.26246452,2.875273228,154,도로,1,418.092,0.261,0,0,0,0,0,0,없음,,0,거짓,0.586,0.22,0,0,0,0,19
8,23.26246452,2.875273228,154,도로,1,498.368,0.311,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.586,0.22,0,0,2,0.2,19
9,27.30080092,1.057972793,111,단독주거시설,1,3.718,0.002,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.497,0.406,0,0,2,0.2,21
10,27.33323479,1.043377161,423,기타초지,0.4,0.987,0,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.497,0.409,0,0,2,0.2,22
11,26.30080079,2.019458801,423,기타초지,0.4,11.258,0.003,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.518,0.286,0,0,2,0.2,19
12,25.86436844,2.432069778,154,도로,1,607.807,0.38,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.527,0.251,0,0,2,0.2,20
13,25.05475629,2.286820217,154,도로,1,212.169,0.133,0,0,0.7,31706.9,2022,0,없음,,0,거짓,0.545,0.263,0,0,2,0.2,19
14,22.24816495,2.767013593,154,도로,1,835.174,0.522,0,0,0,0,0,0,없음,,0,거짓,0.61,0.227,0,0,0,0,19
15,26.01083006,2.687654711,154,도로,1,813.743,0.509,0,0,0,0,0,0,없음,,0,거짓,0.524,0.233,0,0,0,0,17
